Wall time,Step,Value
1618430016.0794072,1694,18671.0
1618430023.4209301,1695,18691.0
1618430030.733526,1696,18511.0
1618430038.0206974,1697,18606.0
1618430053.5039122,1699,18431.0
1618430075.8290155,1702,18121.0
1618430128.1557474,1709,17703.0
1618430135.7586155,1710,17654.0
1618430188.24153,1717,17722.0
1618430195.706696,1718,17390.0
1618430203.1690946,1719,17365.0
1618430269.2751086,1728,20647.0
1618430298.1906488,1732,19719.0
1618430312.5489516,1734,19337.0
1618430319.8699377,1735,18972.0
1618430334.2976036,1737,18771.0
1618430370.7159865,1742,18413.0
1618430377.8960037,1743,18070.0
1618430392.1113095,1745,18118.0
1618430399.5466628,1746,18080.0
1618430406.767845,1747,17994.0
1618430442.4386744,1752,17680.0
1618430543.4177454,1766,20149.0
1618430608.851034,1775,17937.0
1618430652.3908634,1781,17656.0
1618430703.0064418,1788,17118.0
1618430710.519804,1789,17268.0
1618430775.9142072,1798,18599.0
1618430825.6923592,1805,17638.0
1618430883.7930038,1813,17257.0
1618430890.9827337,1814,17117.0
1618430912.8868573,1817,16960.0
1618430964.2931924,1824,16679.0
1618430978.6598496,1826,16702.0
1618431007.5282826,1830,16649.0
1618431080.8152924,1840,16546.0
1618431088.0706666,1841,16486.0
1618431110.1735368,1844,16491.0
1618431146.5840404,1849,16386.0
1618431175.499105,1853,16310.0
1618431269.253327,1866,16202.0
1618431283.571266,1868,16160.0
1618431290.685468,1869,16142.0
1618431333.9315279,1875,16015.0
1618431341.0840783,1876,16073.0
1618431348.130341,1877,16087.0
1618431362.5111158,1879,15952.0
1618431376.893621,1881,15968.0
1618431462.6696658,1893,15917.0
1618431528.2998438,1902,15778.0
1618431557.3891602,1906,15645.0
1618431594.129452,1911,15562.0
1618431638.5714364,1917,15457.0
1618431699.2785313,1923,15617.0
1618431710.968344,1924,15495.0
1618431781.8864958,1930,15496.0
1618431839.237867,1934,15509.0
1618431873.0727377,1936,15389.0
1618431910.4477596,1938,15453.0
1618432035.7903888,1944,15397.0
1618432102.4352953,1947,15356.0
1618432155.3410656,1949,15459.0
1618432231.7723017,1952,15444.0
1618432312.8055525,1955,15215.0
1618432390.4332473,1958,15253.0
1618432437.5061889,1960,15301.0
1618432595.3852515,1967,15231.0
1618432638.3398209,1969,15218.0
1618432881.4330044,1981,15188.0
1618432899.8628917,1982,15198.0
1618432918.57312,1983,15258.0
1618433155.465942,1997,21533.0
1618433215.85645,2001,20594.0
1618433279.0990605,2005,19592.0
1618433341.5478194,2009,18391.0
1618433356.5882385,2010,18477.0
1618433403.0786083,2013,17871.0
1618433432.880037,2015,17698.0
1618433463.562831,2017,17477.0
1618433586.3422358,2025,17120.0
1618433617.0999193,2027,16826.0
1618433662.3720968,2030,16787.0
1618433707.9993632,2033,16554.0
1618433752.191458,2036,16817.0
1618433782.4759424,2038,16692.0
1618433828.1876063,2041,16532.0
1618433875.1874633,2044,16381.0
1618433890.333383,2045,16272.0
1618434118.3077319,2060,16067.0
1618434225.0495858,2067,15947.0
1618434301.0522518,2072,15952.0
1618434316.3000424,2073,16032.0
1618434331.4939115,2074,16021.0
1618434362.0933964,2076,15904.0
1618434377.497862,2077,15970.0
1618434407.5575542,2079,15930.0
1618434439.0256848,2081,15923.0
1618434499.151811,2085,15958.0
1618434560.3042984,2089,15869.0
1618434634.952932,2094,15752.0
1618434664.7563226,2096,15762.0
1618434771.606652,2103,15612.0
1618434801.5502298,2105,15554.0
1618434816.493988,2106,15620.0
1618434861.690652,2109,15589.0
1618434891.7655108,2111,15574.0
1618434952.3342545,2115,15430.0
1618434998.7273607,2118,15484.0
1618435028.5234103,2120,15478.0
